volume,volume_weighted,open,close,high,low,timestamp,num_trades
10157272.455703404,0.4402,0.436643,0.444052,0.4462,0.4317,2024-06-09,14035
21482808.15978131,0.4433,0.444052,0.4403,0.4517,0.435,2024-06-10,21505
31027153.394092318,0.426,0.440319,0.422,0.4416,0.412499,2024-06-11,34877
23517592.613232538,0.4331,0.421802,0.4377,0.4442,0.41435,2024-06-12,24452
16643433.402899405,0.4272,0.437574,0.4208,0.4389,0.4187,2024-06-13,23499
25741410.08161504,0.412,0.42088,0.4119,0.42454,0.39912,2024-06-14,28580
10204945.842480449,0.4116,0.411895,0.413691,0.41565,0.4079,2024-06-15,13163
8213084.24426909,0.4148,0.413645,0.4165,0.41929,0.4089,2024-06-16,11141
27055859.171012446,0.4062,0.416294,0.401,0.42101,0.39,2024-06-17,27324
62517159.23136848,0.3759,0.401095,0.3833,0.40296,0.35894,2024-06-18,62072
33165672.360137828,0.3882,0.383513,0.3843,0.3983,0.3801,2024-06-19,31018
33317575.894517194,0.3877,0.384257,0.384,0.39758,0.377,2024-06-20,28548
26747709.189213093,0.3826,0.384069,0.3759,0.39123,0.3734,2024-06-21,23513
22335734.652601298,0.382,0.375788,0.38502,0.39175,0.3711,2024-06-22,17907
12352274.717902616,0.3862,0.384374,0.379779,0.39377,0.378128,2024-06-23,15111
40717560.5733415,0.3729,0.379783,0.3776,0.38203,0.362002,2024-06-24,29998
21201462.101305038,0.3903,0.377544,0.3917,0.39768,0.3766,2024-06-25,20404
20965387.945697244,0.3897,0.391714,0.3847,0.39699,0.3825,2024-06-26,16174
21774924.37366369,0.3873,0.384665,0.3907,0.399,0.3774,2024-06-27,19919
21941031.171702,0.3902,0.390433,0.3851,0.39773,0.3844,2024-06-28,23122
13856340.374676527,0.3928,0.38502,0.3834,0.40477,0.382652,2024-06-29,15841
13027511.771654237,0.3856,0.38347,0.3919,0.39479,0.3779,2024-06-30,14932
20232615.545079123,0.4009,0.391948,0.4027,0.40885,0.3909,2024-07-01,19006
17850934.854024228,0.4127,0.402809,0.417599,0.42017,0.4024,2024-07-02,19568
25209894.83814306,0.4109,0.417599,0.4065,0.42348,0.3996,2024-07-03,22989
31422105.93887334,0.3848,0.406585,0.362,0.41445,0.3614,2024-07-04,31564
82429278.130215,0.3402,0.362188,0.35,0.3622,0.3171,2024-07-05,74353
26512062.436473228,0.3604,0.349849,0.3707,0.385,0.3467,2024-07-06,22455
16658476.38632387,0.36,0.370751,0.3466,0.37206,0.3445,2024-07-07,17634
38804364.13039106,0.3597,0.346535,0.3691,0.38075,0.330513,2024-07-08,36736
19375323.500118896,0.3734,0.369,0.3753,0.38163,0.3626,2024-07-09,20309
19654342.695754156,0.3835,0.375516,0.38958,0.39158,0.371797,2024-07-10,19879
27438153.764937714,0.396,0.38855,0.3961,0.4061,0.3845,2024-07-11,26588
29135835.69683467,0.4062,0.3958,0.4164,0.41853,0.3932,2024-07-12,27983
30000327.30129422,0.429,0.416668,0.4419,0.44719,0.4117,2024-07-13,31021
18724363.82255068,0.4333,0.441674,0.4318,0.44652,0.4239,2024-07-14,21641
33908007.28747857,0.4377,0.431863,0.4451,0.44619,0.43118,2024-07-15,29999
30086374.991039317,0.4407,0.445109,0.4382,0.45365,0.4266,2024-07-16,31056
26603890.589439753,0.4457,0.438301,0.436,0.45688,0.4355,2024-07-17,26702
17773951.66906646,0.4328,0.435926,0.4234,0.45042,0.4198,2024-07-18,22051
19168473.634300943,0.4292,0.423525,0.4392,0.4434,0.414126,2024-07-19,22921
11819291.568175698,0.4356,0.439076,0.4375,0.44223,0.4276,2024-07-20,15973
15908378.812455555,0.4329,0.437435,0.447,0.44952,0.4169,2024-07-21,19412
25271108.667095505,0.4345,0.446812,0.4263,0.4512,0.4239,2024-07-22,28266
22377773.865775947,0.4174,0.426308,0.4102,0.43051,0.403,2024-07-23,28335
30029884.194582652,0.4127,0.410044,0.4062,0.42272,0.4037,2024-07-24,28252
30524859.163013544,0.3933,0.406256,0.3946,0.40903,0.3816,2024-07-25,31767
19973917.80979277,0.4118,0.394704,0.4172,0.42027,0.3944,2024-07-26,21623
21540290.83076755,0.4201,0.417615,0.4173,0.43038,0.4128,2024-07-27,23697
7360645.75898803,0.4106,0.417339,0.4073,0.42146,0.4045,2024-07-28,13449
20156430.340193074,0.4145,0.407265,0.403484,0.42828,0.403,2024-07-29,22626
16056831.580218632,0.4021,0.403449,0.4012,0.40803,0.394,2024-07-30,20910
20522672.650361195,0.3996,0.401319,0.388,0.40837,0.387,2024-07-31,21012
30056061.83028786,0.381,0.388029,0.3924,0.39665,0.368,2024-08-01,32019
36462840.22257436,0.3739,0.392179,0.3632,0.39568,0.358179,2024-08-02,35442
23673847.06231654,0.3585,0.36329,0.3644,0.37349,0.349,2024-08-03,23447
33039695.04312629,0.3487,0.364431,0.3441,0.3682,0.3335,2024-08-04,25595
133560356.18179055,0.3057,0.343962,0.312,0.34682,0.275966,2024-08-05,103697
31037611.701353863,0.329,0.312001,0.3312,0.33753,0.3115,2024-08-06,30443
29166505.34420195,0.3277,0.331181,0.324,0.34138,0.3125,2024-08-07,24331
23865053.307385683,0.3385,0.324151,0.3517,0.3539,0.3188,2024-08-08,22919
22700727.684498277,0.3464,0.351659,0.34899,0.35518,0.336558,2024-08-09,18793
8636868.079362733,0.3472,0.348572,0.3458,0.35298,0.3444,2024-08-10,9556
15099425.447510619,0.341,0.345828,0.3276,0.3571,0.3271,2024-08-11,14517
15095338.66962356,0.3365,0.327781,0.339,0.34575,0.3265,2024-08-12,15994
13934656.932995614,0.3392,0.339051,0.3399,0.34578,0.3307,2024-08-13,12474
16773017.471008128,0.3378,0.340032,0.3353,0.34593,0.3311,2024-08-14,14894
21460863.76411334,0.3299,0.335415,0.3248,0.34191,0.3205,2024-08-15,19258
21931436.577556282,0.3309,0.325,0.3303,0.34585,0.3204,2024-08-16,20303
10575981.937460806,0.3336,0.3302,0.3373,0.33949,0.3274,2024-08-17,11102
11129831.651123054,0.3374,0.3374,0.3342,0.3405,0.3329,2024-08-18,10452
11616335.515387064,0.3335,0.3342,0.3367,0.33841,0.3279,2024-08-19,12257
23343088.88452234,0.3432,0.3367,0.3435,0.3545,0.3355,2024-08-20,16959
40936140.067254215,0.3598,0.3434,0.3689,0.37794,0.342698,2024-08-21,28917
